name,problemsize,n_vars,n_constraints,cputime,cmax,gap,status
mfjs01,"[5, 3, 6]",649,1242,3600.0270001888275,467.9992420636398,0.04487024801808124,9
mfjs02,"[5, 3, 7]",760,1457,3600.029000043869,446.0,0.05829596412556054,9
mfjs03,"[6, 3, 7]",1075,2075,3600.0280001163483,465.99879010872263,0.14806645762454534,9
mfjs04,"[7, 3, 7]",1422,2758,3600.044000148773,553.9999420554356,0.10469304715131511,9
mfjs05,"[7, 3, 7]",1400,2715,3600.1770000457764,513.999999896999,0.13229571967047787,9
mfjs06,"[8, 3, 7]",1767,3439,3600.1259999275208,634.0,0.031545741324921134,9
mfjs07,"[8, 4, 7]",2863,5607,3600.1139998435974,880.9922921377803,0.13279604507536782,9
mfjs08,"[9, 4, 8]",3543,6954,3600.2109999656677,896.9999999101999,0.14827201775196738,9
mfjs09,"[11, 4, 8]",5076,9995,3601.1349999904633,1062.9999998935998,0.2812793978584459,9
mfjs10,"[12, 4, 8]",5969,11768,3600.098000049591,1320.9999998677995,0.2853898560980531,9
sfjs01,"[2, 2, 2]",57,98,0.009999990463256836,66.0,0.0,2
sfjs02,"[2, 2, 2]",47,80,0.009000062942504883,107.0,0.0,2
sfjs03,"[3, 2, 2]",95,170,0.14100003242492676,220.99999997779986,0.0,2
sfjs04,"[3, 2, 2]",95,170,0.0710000991821289,355.0,0.0,2
sfjs05,"[3, 2, 2]",109,196,0.13199996948242188,119.0,0.0,2
sfjs06,"[3, 3, 3]",196,363,0.18799996376037598,320.0,0.0,2
sfjs07,"[3, 3, 5]",244,454,0.012000083923339844,397.0,0.0,2
sfjs08,"[3, 3, 4]",235,437,0.6979999542236328,252.99999997459466,0.0,2
sfjs09,"[3, 3, 3]",226,420,0.013000011444091797,210.0,0.0,2
sfjs10,"[4, 3, 5]",345,651,2.744999885559082,515.9999999482635,0.0,2
